Year + Mes,Anomaly
188001,-0.93
188002,-1.33
188003,-0.67
188004,-0.51
188005,-0.37
188006,-0.12
188007,-0.41
188008,-0.01
188009,-0.42
188010,-0.55
188011,-0.5
188012,-0.39
188101,-0.36
188102,-0.52
188103,-0.42
188104,-0.17
188105,-0.06
188106,-0.68
188107,-0.2
188108,-0.35
188109,-0.56
188110,-0.71
188111,-0.79
188112,-0.09
188201,-0.02
188202,-0.57
188203,-0.36
188204,-0.75
188205,-0.35
188206,-0.69
188207,-0.62
188208,-0.32
188209,-0.43
188210,-0.91
188211,-0.93
188212,-1.05
188301,-0.66
188302,-0.98
188303,-0.23
188304,-0.62
188305,-0.35
188306,0.2
188307,-0.24
188308,-0.65
188309,-0.66
188310,-0.8
188311,-0.81
188312,-0.66
188401,-0.7
188402,-0.59
188403,-1.1
188404,-0.99
188405,-0.79
188406,-0.48
188407,-0.6
188408,-0.58
188409,-0.82
188410,-0.91
188411,-0.86
188412,0.04
188501,-0.87
188502,-0.6
188503,-0.77
188504,-0.9
188505,-0.46
188506,-0.64
188507,-0.32
188508,-0.23
188509,-0.51
188510,-0.6
188511,-0.71
188512,-0.1
188601,-0.74
188602,-0.82
188603,-1.12
188604,-0.51
188605,-0.58
188606,-0.52
188607,-0.17
188608,-0.21
188609,-0.38
188610,-0.69
188611,-0.69
188612,-0.13
188701,-1.28
188702,-0.81
188703,-0.69
188704,-0.63
188705,-0.55
188706,-0.48
188707,-0.37
188708,-0.37
188709,-0.2
188710,-0.8
188711,-0.62
188712,-0.93
188801,-0.25
188802,-0.73
188803,-0.64
188804,-0.67
188805,-0.51
188806,-0.25
188807,0.07
188808,-0.14
188809,-0.48
188810,0.11
188811,0.01
188812,-0.29
188901,-0.24
188902,0.41
188903,0
188904,0.08
188905,0.16
188906,-0.03
188907,-0.15
188908,-0.11
188909,-0.15
188910,-0.36
188911,-0.79
188912,-0.56
189001,-0.63
189002,-0.59
189003,-0.61
189004,-0.71
189005,-0.47
189006,-0.51
189007,-0.29
189008,-0.35
189009,-0.5
189010,-0.18
189011,-0.87
189012,-0.72
189101,-0.55
189102,-1.31
189103,-0.41
189104,-0.55
189105,-0.33
189106,-0.2
189107,-0.22
189108,-0.39
189109,-0.48
189110,-0.48
189111,-0.95
189112,-0.38
189201,-0.49
189202,-0.26
189203,-0.49
189204,-0.62
189205,-0.82
189206,-0.31
189207,-0.48
189208,-0.46
189209,-0.42
189210,-0.58
189211,-0.94
189212,-0.57
189301,-1.31
189302,-1.11
189303,-0.75
189304,-0.63
189305,-0.62
189306,-0.24
189307,-0.26
189308,-0.37
189309,-0.52
189310,-0.47
189311,-0.64
189312,-0.81
189401,-1.15
189402,-0.85
189403,-0.45
189404,-0.69
189405,-0.25
189406,-0.72
189407,-0.24
189408,-0.11
189409,-0.61
189410,-0.66
189411,-0.68
189412,-0.55
189501,-0.9
189502,-0.94
189503,-0.39
189504,-0.28
189505,-0.54
189506,-0.3
189507,-0.1
189508,-0.18
189509,-0.44
189510,-0.58
189511,-0.42
189512,-0.57
189601,-0.37
189602,-0.44
189603,-0.61
189604,-1.02
189605,-0.68
189606,-0.12
189607,-0.27
189608,-0.17
189609,-0.32
189610,0
189611,-0.54
189612,-0.47
189701,-0.48
189702,-0.8
189703,-0.73
189704,-0.03
189705,-0.13
189706,-0.12
189707,-0.04
189708,-0.05
189709,-0.23
189710,-0.41
189711,-0.17
189712,-0.04
189801,-0.53
189802,-0.75
189803,-1.07
189804,-0.56
189805,-0.33
189806,-0.09
189807,-0.03
189808,0.01
189809,-0.09
189810,-0.53
189811,-0.84
189812,-0.43
189901,-0.63
189902,-0.72
189903,-0.36
